Key,Recruitment,PlayerSport,RecruitState,Institution,LockPrediction,RecruitsInterest,PrimaryCoach,SecondaryCoach,KeeperCoach,InstitutionsInterest,Position,PositionGroup,Platoon,Offered,GrayShirt,WalkOn,OfficialVisit,SecondOfficialVisit,SoftCommit,HardCommit,SigningDate,EnrollmentDate,Decommit,HighestRecruitInterestEvent,CommitStatus,DefaultName
807768,145865,273234,44,24099,False,Cool,,,,ScoutLook,61,5,2,True,False,False,,,,,,,,,Cool,Armondo Blount via Florida
746007,145025,278992,2,24099,False,Cool,,,,ScoutLook,24,7,2,True,False,False,,,,,,,,,Cool,Anquon Fegans via Florida
748686,143763,270069,9,24099,False,Cool,,,,HighChoice,14,3,1,True,False,False,,,,,,,,,Cool,Dakorien Moore via Florida
715065,144209,270702,44,24099,False,Cool,,,,ScoutLook,25,7,2,True,False,False,,,,,,,,,Cool,DJ Pickett via Florida
814372,158401,293777,5,24099,False,Cool,,,,HighChoice,14,3,1,True,False,False,,,,,,,,,Cool,Caleb Cunningham via Florida
749220,143827,270149,44,24099,False,None,260.0,,,NotApplicable,14,3,1,True,False,False,,,,,,,,,None,Winston Watkins Jr. via Florida
802791,148521,277401,44,24099,False,Cool,,,,ScoutLook,14,3,1,True,False,False,,,,,,,,,Cool,Jaime Ffrench via Florida
747368,144976,272047,44,24099,False,None,,,,NotApplicable,57,1,1,True,False,False,,,,,,,,,None,Colin Hurley via Florida
803812,151126,282831,3,24099,False,Cool,,,,ScoutLook,59,6,2,True,False,False,,,,,,,,,Cool,Jadon Perlotte via Florida
739594,147839,276204,1,24099,False,Cool,,,,ScoutLook,61,5,2,True,False,False,,,,,,,,,Cool,Zahir Mathis via Florida
809686,149864,279961,44,24099,False,Cool,,,,Interested,24,7,2,True,False,False,,,,,,,,,Cool,Chris Ewald via Florida
812368,149942,280171,2,24099,False,Cool,,,,ScoutLook,12,2,1,True,False,False,,,,,,,,,Cool,Anthony Rogers via Florida
799570,148522,287682,44,24099,False,Cool,,,,ScoutLook,59,6,2,True,False,False,,,,,,,,,Cool,Gavin Nix via Florida
808638,141696,265422,3,24099,False,Cool,4546.0,,,Interested,57,1,1,True,False,False,,,,,,,,,Cool,Antwann Hill via Florida
757749,151732,283721,4,24099,False,Cool,,,,ScoutLook,26,8,3,True,False,False,,,,,,,,,Cool,Keylan Moses via Florida
802190,150761,282306,2,24099,False,Cool,,,,ScoutLook,60,5,2,True,False,False,,,,,,,,,Cool,Jakaleb Faulk via Florida
802807,152516,284732,44,24099,False,Cool,,,,ScoutLook,59,6,2,True,False,False,,,,,,,,,Cool,Tarvos Alford via Florida
751573,144578,271374,3,24099,False,Cool,,,,TopTarget,24,7,2,True,False,False,,,,,,,,,Cool,Jaylen Bell via Florida
802814,153237,286004,44,24099,False,Cool,,,,ScoutLook,14,3,1,True,False,False,,,,,,,,,Cool,Koby Howard via Florida
803970,154273,287381,3,24099,False,Cool,,,,HighChoice,59,6,2,True,False,False,,,,,,,,,Cool,Mantrez Walker via Florida
793679,156367,290228,3,24099,False,Cool,,,,ScoutLook,58,4,1,True,False,False,,,,,,,,,Cool,Peyton Joseph via Florida
807424,156466,290454,14,24099,False,Cool,,,,Interested,57,1,1,True,False,False,,,,,,,,,Cool,Tavien St. Clair via Florida
807843,156920,291348,3,24099,False,Cool,,,,ScoutLook,15,3,1,True,False,False,,,,,,,,,Cool,Ethan Barbour via Florida
802829,147928,276315,44,24099,False,Cool,,,,ScoutLook,57,1,1,True,False,False,,,,,,,,,Cool,Tramell Jones Jr. via Florida
796212,157236,291797,44,24099,False,Cool,,,,ScoutLook,26,8,3,True,False,False,,,,,,,,,Cool,Vernell Brown III via Florida
803573,157660,292578,44,24099,False,Cool,,,,ScoutLook,16,4,1,True,False,False,,,,,,,,,Cool,Solomon Thomas via Florida
812699,157780,292760,44,24099,False,Cool,939.0,1057.0,,Interested,24,7,2,True,False,False,,,,,,,,,Cool,Ben Hanks Jr. via Florida
748203,149794,279705,9,24099,False,Cool,,,,ScoutLook,58,4,1,True,False,False,,,,,,,,,Cool,Warren Nolen via Florida
753422,150406,281414,44,24099,False,Cool,297.0,,,HighChoice,26,8,3,True,False,False,,,,,,,,,Cool,Taevion Swint via Florida
